City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
79,Sarti,40.1,23.9833,80.4,clear sky,52,0,6.02,GR
80,Tazovskiy,67.4667,78.7,40.15,clear sky,92,2,7.96,RU
81,Zeya,53.75,127.2667,65.39,overcast clouds,95,97,4.23,RU
82,Lethem,3.3803,-59.7968,80.2,scattered clouds,80,27,4.47,GY
83,Almaznyy,48.0448,40.045,66.34,broken clouds,63,65,7.65,RU
84,Qaanaaq,77.484,-69.3632,41.22,light rain,99,100,4.27,GL
85,Shingu,33.7333,135.9833,78.91,overcast clouds,68,94,3.71,JP
86,Hermanus,-34.4187,19.2345,55.8,overcast clouds,76,94,18.25,ZA
87,Husavik,66.0449,-17.3389,50.61,overcast clouds,99,100,9.51,IS
88,Kodiak,57.79,-152.4072,56.73,overcast clouds,77,100,5.21,US
89,Santa Isabel Do Rio Negro,-0.4139,-65.0192,78.21,moderate rain,85,100,2.71,BR
90,Dolgorukovo,52.3195,38.3453,65.28,broken clouds,70,70,4.7,RU
91,Dikson,73.5069,80.5464,40.24,overcast clouds,100,100,16.35,RU
92,Aklavik,68.2191,-135.0107,61.63,overcast clouds,77,90,2.3,CA
93,Kloulklubed,7.0419,134.2556,83.61,very heavy rain,74,85,10.09,PW
94,Bereda,43.2686,-7.5406,61.92,few clouds,99,13,3.11,ES
95,Nikolskoye,59.7035,30.7861,69.4,overcast clouds,62,89,5.03,RU
96,Bethel,41.3712,-73.414,88.52,scattered clouds,62,32,1.01,US
97,Constitucion,-35.3333,-72.4167,50.0,clear sky,68,0,8.03,CL
98,Yar-Sale,66.8333,70.8333,46.83,overcast clouds,69,99,9.66,RU
99,Varzea Da Palma,-17.5981,-44.7308,71.11,clear sky,37,3,0.96,BR
100,Batu,-7.87,112.5283,59.54,scattered clouds,89,44,1.21,ID
101,Kamenka,51.3223,42.7678,63.21,clear sky,75,4,4.27,RU
102,Pevek,69.7008,170.3133,34.07,overcast clouds,94,100,10.4,RU
103,Vanavara,60.34,102.2797,65.21,clear sky,61,7,2.33,RU
104,Whitehorse,60.7161,-135.0538,59.02,broken clouds,76,75,8.01,CA
105,Port Elizabeth,-33.918,25.5701,57.09,few clouds,86,18,11.52,ZA
106,General Delgado,-27.1667,-56.5167,45.52,clear sky,45,0,5.3,PY
107,Jalingo,8.8833,11.3667,72.93,overcast clouds,84,100,4.43,NG
108,Grindavik,63.8424,-22.4338,52.27,clear sky,87,0,19.57,IS
109,Polovinnoye,54.7914,65.9864,53.96,scattered clouds,86,31,8.5,RU
110,Caborca,30.5838,-111.101,94.5,few clouds,29,23,7.2,MX
111,Xam Nua,20.4197,104.0439,67.3,overcast clouds,99,95,3.15,LA
112,Gizo,-8.103,156.8419,82.33,light rain,76,84,8.57,SB
113,Carinhanha,-14.3047,-43.765,78.12,clear sky,33,7,4.07,BR
114,Carnarvon,-24.8667,113.6333,66.85,overcast clouds,53,100,8.28,AU
115,San Policarpo,12.1791,125.5072,80.49,overcast clouds,77,98,9.4,PH
116,La Ronge,55.1001,-105.2842,73.29,scattered clouds,49,41,10.67,CA
117,Boyolangu,-8.1181,111.8935,71.94,broken clouds,92,63,3.2,ID
118,Geraldton,-28.7667,114.6,61.12,scattered clouds,87,40,1.14,AU
119,Henties Bay,-22.116,14.2845,58.86,clear sky,81,0,8.63,NA
120,Emerald,-23.5333,148.1667,56.98,few clouds,56,13,7.14,AU
121,Auki,-8.7676,160.7034,81.12,broken clouds,76,72,4.9,SB
122,Dzilam Gonzalez,21.2833,-88.9333,88.83,broken clouds,58,80,10.13,MX
123,San Matias,-16.3667,-58.4,73.42,scattered clouds,49,27,14.72,BO
124,Avarua,-21.2078,-159.775,77.05,few clouds,65,20,5.75,CK
125,Revda,56.801,59.9303,50.81,clear sky,92,8,3.67,RU
126,Hami,42.8,93.45,85.17,clear sky,18,1,7.54,CN
127,Talnakh,69.4865,88.3972,65.32,overcast clouds,91,89,6.73,RU
128,Porto Santo,33.072,-16.3415,73.31,broken clouds,68,75,13.8,PT
129,Neiafu,-18.65,-173.9833,77.68,moderate rain,78,75,4.61,TO
130,Leningradskiy,69.3833,178.4167,34.36,light rain,97,100,7.67,RU
131,Kamakwie,9.5,-12.2333,72.86,light rain,98,100,4.83,SL
132,Astana,51.1801,71.446,53.55,clear sky,62,0,4.47,KZ
133,Bredasdorp,-34.5322,20.0403,55.27,overcast clouds,72,100,14.83,ZA
134,Sur,22.5667,59.5289,94.08,overcast clouds,47,100,19.66,OM
135,Coihaique,-45.5752,-72.0662,37.6,broken clouds,91,66,3.78,CL
136,Monrovia,6.3005,-10.7969,77.22,light rain,80,100,11.05,LR
137,Denpasar,-8.65,115.2167,74.86,scattered clouds,88,40,4.61,ID
138,Axim,4.8699,-2.2405,75.9,overcast clouds,81,99,7.85,GH
139,Lompoc,34.6391,-120.4579,89.74,broken clouds,71,75,7.0,US
140,Baykit,61.67,96.37,65.32,overcast clouds,89,100,2.17,RU
141,Saint George,37.1041,-113.5841,97.63,broken clouds,29,72,5.01,US
142,Hithadhoo,-0.6,73.0833,80.91,light rain,78,96,7.72,MV
143,Alta Floresta,-9.8756,-56.0861,82.56,scattered clouds,31,39,2.51,BR
144,New Norfolk,-42.7826,147.0587,54.9,light rain,80,93,3.0,AU
145,Clyde River,70.4692,-68.5914,45.66,overcast clouds,74,96,5.28,CA
146,Mahibadhoo,3.7833,72.9667,81.55,overcast clouds,78,100,13.62,MV
147,Coxim,-18.5067,-54.76,72.59,few clouds,61,24,16.84,BR
148,Isangel,-19.55,169.2667,72.73,few clouds,63,22,14.85,VU
149,Lagoa,39.05,-27.9833,71.29,overcast clouds,85,100,10.74,PT
150,Haimen,23.1935,116.6142,82.29,scattered clouds,84,49,7.07,CN
151,Boksitogorsk,59.474,33.8485,63.81,scattered clouds,68,49,5.03,RU
152,Bathsheba,13.2167,-59.5167,80.8,overcast clouds,74,98,14.38,BB
153,Moron,-34.6534,-58.6198,50.97,few clouds,50,19,5.99,AR
154,Fairbanks,64.8378,-147.7164,66.02,overcast clouds,68,100,1.01,US
155,Pingtung,22.6714,120.4881,81.88,light intensity shower rain,98,75,4.61,TW
156,Margate,51.3813,1.3862,63.3,few clouds,86,22,1.01,GB
157,Codrington,-38.2667,141.9667,48.58,scattered clouds,79,39,20.36,AU
158,Nhulunbuy,-12.2333,136.7667,68.61,broken clouds,94,57,2.3,AU
159,Tuktoyaktuk,69.4541,-133.0374,51.8,light rain,76,90,5.75,CA
160,Yulara,-25.2406,130.9889,61.2,few clouds,60,20,6.89,AU
161,Beringovskiy,63.05,179.3167,48.78,moderate rain,96,100,4.29,RU
162,Dongying,37.4564,118.4856,77.92,light rain,76,99,6.38,CN
163,Vestmannaeyjar,63.4427,-20.2734,54.01,scattered clouds,84,38,11.32,IS
164,Kushima,31.4583,131.2333,77.04,clear sky,80,0,2.15,JP
165,Luderitz,-26.6481,15.1594,56.34,clear sky,74,0,10.31,NA
166,Kaitangata,-46.2817,169.8464,48.92,broken clouds,69,78,3.94,NZ
167,North Berwick,56.0583,-2.7229,63.91,moderate rain,92,100,5.91,GB
168,Port-Gentil,-0.7193,8.7815,76.05,broken clouds,80,72,11.86,GA
169,Camacha,33.0833,-16.3333,70.54,broken clouds,68,75,13.8,PT
170,Georgetown,5.4112,100.3354,82.89,few clouds,84,20,0.0,MY
171,Garissa,-0.4536,39.6401,73.08,broken clouds,69,66,19.89,KE
172,Skjervoy,70.0311,20.9714,48.43,broken clouds,93,80,1.97,NO
173,Tamisan,6.8437,126.2984,80.13,overcast clouds,85,93,7.9,PH
